日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,优,50,147,33,52,9,53,0.80,19
2021-01-02,良,72,192,52,61,9,65,0.88,27
2021-01-03,良,62,127,40,49,5,51,0.60,30
2021-01-04,优,42,50,20,41,4,51,0.45,33
2021-01-05,优,48,126,32,44,5,30,0.55,54
2021-01-06,优,47,75,31,47,7,36,0.57,43
2021-01-07,良,71,280,24,86,8,25,0.54,43
2021-01-08,良,52,186,22,56,9,34,0.61,36
2021-01-09,良,58,234,34,67,11,56,0.81,21
2021-01-10,良,73,269,53,84,14,71,1.08,17
2021-01-11,良,70,219,50,76,12,63,0.81,18
2021-01-12,良,96,251,40,142,9,62,0.64,25
2021-01-13,良,78,175,45,106,11,77,0.66,26
2021-01-14,良,78,137,54,93,12,87,0.75,41
2021-01-15,良,83,140,56,92,9,59,0.71,50
2021-01-16,良,68,144,28,88,4,21,0.45,57
2021-01-17,良,63,139,35,79,7,39,0.62,45
2021-01-18,良,82,272,59,111,9,68,0.78,30
2021-01-19,良,65,127,42,77,6,58,0.63,42
2021-01-20,优,32,22,13,32,4,37,0.44,51
2021-01-21,优,45,33,29,45,6,57,0.61,25
2021-01-22,良,57,72,41,31,4,44,0.68,32
2021-01-23,良,64,98,46,41,4,35,0.76,57
2021-01-24,良,88,134,65,69,4,45,0.84,47
2021-01-25,优,34,29,19,29,4,48,0.50,37
2021-01-26,优,42,53,28,25,4,51,1.16,11
2021-01-27,良,69,147,49,52,5,32,0.88,70
2021-01-28,良,95,245,66,87,5,39,0.87,51
2021-01-29,良,62,162,15,74,6,31,0.46,51
2021-01-30,良,58,113,24,67,10,38,0.54,60
2021-01-31,优,37,38,20,39,7,48,0.63,37
