日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,良,55,198,28,61,5,49,0.73,10
2021-01-02,良,72,187,51,79,5,47,1.19,13
2021-01-03,优,30,19,13,30,3,30,0.42,29
2021-01-04,优,37,37,15,37,3,23,0.42,39
2021-01-05,优,28,26,10,27,2,18,0.30,40
2021-01-06,良,61,134,11,75,2,7,0.25,51
2021-01-07,优,27,25,8,26,2,9,0.30,49
2021-01-08,优,28,34,8,28,2,12,0.24,52
2021-01-09,优,34,47,9,35,2,13,0.26,50
2021-01-10,优,25,12,8,23,2,13,0.26,55
2021-01-11,优,49,84,18,57,3,19,0.38,38
2021-01-12,良,97,253,43,143,4,47,0.73,16
2021-01-13,轻度污染,142,314,57,234,2,30,0.54,39
2021-01-14,良,82,153,53,115,5,34,0.95,24
2021-01-15,良,99,193,42,146,2,17,0.49,49
2021-01-16,优,30,19,9,30,2,11,0.27,55
2021-01-17,优,50,75,16,54,3,22,0.38,42
2021-01-18,良,55,93,18,61,3,25,0.42,40
2021-01-19,优,46,56,26,46,2,24,0.61,33
2021-01-20,良,71,149,51,62,3,37,0.80,20
2021-01-21,轻度污染,103,210,77,93,5,51,1.17,16
2021-01-22,轻度污染,112,227,84,109,8,54,1.45,22
2021-01-23,轻度污染,115,242,86,93,3,50,1.34,20
2021-01-24,轻度污染,137,247,104,103,3,52,1.30,20
2021-01-25,中度污染,175,314,132,106,2,59,1.50,10
2021-01-26,轻度污染,110,258,82,78,2,40,1.08,30
2021-01-27,良,54,98,27,60,5,33,0.74,35
2021-01-28,优,44,72,6,48,2,7,0.24,64
2021-01-29,优,47,90,19,50,3,31,0.53,27
2021-01-30,良,68,170,40,86,4,47,0.88,19
2021-01-31,良,87,225,63,81,3,33,1.05,28
