日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,优,49,129,24,53,10,44,0.90,20
2021-01-02,良,66,158,42,80,10,61,1.01,17
2021-01-03,良,73,180,49,81,7,47,0.77,37
2021-01-04,良,62,139,37,75,6,58,0.76,17
2021-01-05,良,77,241,53,81,4,37,0.72,30
2021-01-06,良,58,123,36,65,5,36,0.67,36
2021-01-07,良,79,320,26,108,6,20,0.60,39
2021-01-08,良,57,242,21,64,6,23,0.57,41
2021-01-09,良,53,195,22,58,6,41,0.54,26
2021-01-10,良,65,214,38,81,10,56,0.76,22
2021-01-11,良,67,194,36,89,9,47,0.63,23
2021-01-12,良,94,244,31,138,9,43,0.76,38
2021-01-13,良,70,120,33,90,12,50,0.95,47
2021-01-14,良,77,136,45,103,10,78,1.10,28
2021-01-15,轻度污染,104,207,75,155,14,73,1.15,29
2021-01-16,良,80,180,44,109,4,29,0.68,36
2021-01-17,良,73,195,37,96,5,39,0.70,36
2021-01-18,良,83,278,48,115,8,50,1.00,37
2021-01-19,良,93,286,62,134,8,58,1.01,53
2021-01-20,良,65,136,38,80,7,46,0.73,53
2021-01-21,良,89,179,64,104,9,76,1.09,6
2021-01-22,轻度污染,118,237,89,112,3,58,1.02,15
2021-01-23,良,76,135,55,64,3,29,0.90,57
2021-01-24,轻度污染,119,208,90,119,3,37,1.12,48
2021-01-25,良,70,164,51,77,3,50,0.90,20
2021-01-26,良,87,214,65,73,3,43,1.55,7
2021-01-27,轻度污染,102,224,76,98,3,38,1.10,47
2021-01-28,轻度污染,116,301,65,158,3,33,0.95,49
2021-01-29,良,88,268,36,127,4,35,0.60,47
2021-01-30,良,77,209,43,104,5,50,0.75,38
2021-01-31,良,83,211,57,115,9,62,0.96,25
