日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,良,63,247,31,76,9,48,0.66,23
2021-01-02,良,72,190,39,94,10,48,0.73,27
2021-01-03,良,68,159,44,88,10,51,0.83,20
2021-01-04,良,85,222,62,108,11,57,1.04,32
2021-01-05,轻度污染,102,284,75,143,7,42,0.80,36
2021-01-06,轻度污染,105,289,78,122,5,40,0.97,19
2021-01-07,良,92,351,52,129,7,29,0.63,35
2021-01-08,良,67,324,18,84,7,23,0.48,38
2021-01-09,良,63,278,30,79,9,44,0.56,26
2021-01-10,良,68,232,37,86,11,49,0.57,30
2021-01-11,良,61,159,28,77,8,32,0.42,37
2021-01-12,良,86,224,41,122,25,53,0.67,31
2021-01-13,良,95,256,55,141,28,66,0.82,29
2021-01-14,轻度污染,119,289,72,187,24,83,1.30,18
2021-01-15,轻度污染,115,238,74,180,21,74,1.24,25
2021-01-16,严重污染,259,365,95,374,9,36,0.92,38
2021-01-17,良,94,317,44,138,8,32,0.51,42
2021-01-18,轻度污染,107,354,55,165,16,55,0.77,28
2021-01-19,轻度污染,105,324,64,159,18,68,0.95,30
2021-01-20,良,89,222,55,128,16,68,0.85,38
2021-01-21,良,84,167,62,109,11,50,0.88,51
2021-01-22,轻度污染,111,226,84,112,6,46,0.97,35
2021-01-23,良,79,144,58,78,4,37,0.94,39
2021-01-24,良,74,105,54,74,6,43,0.98,27
2021-01-25,良,58,113,41,56,5,37,0.90,21
2021-01-26,良,94,226,70,88,4,29,1.03,50
2021-01-27,轻度污染,105,229,78,100,5,39,1.19,20
2021-01-28,良,59,148,41,68,4,32,0.89,48
2021-01-29,轻度污染,119,340,46,189,6,34,0.66,50
2021-01-30,轻度污染,106,318,47,161,11,57,0.74,20
2021-01-31,良,92,251,51,134,10,53,0.76,11
