日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,优,32,29,15,32,7,29,0.43,49
2021-01-02,良,52,90,28,59,9,51,0.65,38
2021-01-03,良,67,153,40,87,11,62,0.78,34
2021-01-04,良,58,119,33,67,13,51,0.68,54
2021-01-05,良,58,193,38,70,13,47,0.69,59
2021-01-06,良,68,177,48,82,12,41,0.77,78
2021-01-07,良,64,228,44,70,9,31,0.87,43
2021-01-08,优,49,165,30,50,7,22,0.61,46
2021-01-09,优,34,49,13,35,8,27,0.41,45
2021-01-10,优,45,72,20,45,10,31,0.44,46
2021-01-11,优,46,76,27,48,10,30,0.55,41
2021-01-12,良,60,74,35,70,11,48,0.68,38
2021-01-13,良,76,157,47,101,10,74,0.84,27
2021-01-14,轻度污染,111,271,82,160,12,117,1.14,31
2021-01-15,轻度污染,137,302,104,190,13,136,1.33,51
2021-01-16,中度污染,172,362,130,227,12,145,1.52,58
2021-01-17,良,88,296,55,125,11,42,0.82,73
2021-01-18,良,76,218,39,103,11,38,0.65,61
2021-01-19,良,92,279,63,134,12,91,0.94,45
2021-01-20,轻度污染,101,263,69,153,12,118,1.11,35
2021-01-21,轻度污染,103,212,75,142,11,98,1.03,34
2021-01-22,优,39,34,21,40,6,48,0.78,25
2021-01-23,良,57,75,37,62,7,45,0.88,46
2021-01-24,良,64,78,44,69,7,45,0.81,62
2021-01-25,良,56,102,31,62,8,53,0.83,67
2021-01-26,良,63,129,41,76,8,53,0.97,50
2021-01-27,良,57,108,39,65,8,42,1.03,68
2021-01-28,良,57,134,39,65,7,41,1.11,49
2021-01-29,优,40,54,21,42,7,32,0.75,79
2021-01-30,良,67,162,42,84,8,57,0.90,76
2021-01-31,良,64,130,35,72,8,55,0.83,74
