日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,良,58,217,39,54,7,55,0.64,25
2021-01-02,良,87,259,64,87,12,68,1.15,22
2021-01-03,良,93,256,69,88,9,68,0.80,17
2021-01-04,轻度污染,149,318,113,131,14,73,1.32,25
2021-01-05,重度污染,203,358,158,155,6,45,1.22,22
2021-01-06,轻度污染,124,323,93,106,7,42,1.15,19
2021-01-07,良,68,256,22,85,7,25,0.51,46
2021-01-08,良,52,197,23,54,8,43,0.58,33
2021-01-09,良,63,280,41,74,9,61,0.68,23
2021-01-10,良,69,241,46,86,10,56,0.80,33
2021-01-11,良,63,174,33,80,11,42,0.68,28
2021-01-12,良,80,194,41,109,10,56,0.60,34
2021-01-13,良,78,177,55,101,12,76,0.99,29
2021-01-14,良,96,231,68,128,18,88,1.40,22
2021-01-15,轻度污染,116,242,82,172,17,68,1.17,38
2021-01-16,轻度污染,122,295,68,194,10,34,0.73,42
2021-01-17,良,76,215,48,103,9,38,0.61,39
2021-01-18,良,73,195,46,96,11,54,0.70,38
2021-01-19,良,79,214,56,106,17,67,0.99,39
2021-01-20,良,84,205,61,103,15,83,1.21,16
2021-01-21,轻度污染,117,239,89,105,8,68,1.12,5
2021-01-22,轻度污染,119,239,90,104,7,54,1.00,18
2021-01-23,中度污染,151,297,114,107,6,44,1.26,28
2021-01-24,良,56,55,40,49,7,36,1.05,39
2021-01-25,轻度污染,109,259,80,74,6,32,1.15,33
2021-01-26,中度污染,161,324,122,125,7,46,1.33,33
2021-01-27,轻度污染,137,300,103,115,6,56,1.36,15
2021-01-28,轻度污染,105,274,64,119,7,47,1.03,31
2021-01-29,良,100,296,40,153,9,51,0.74,30
2021-01-30,良,89,266,51,129,14,72,1.04,13
2021-01-31,良,93,257,68,128,10,69,1.28,6
